Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
12/30/2011,403.51,406.28,403.49,405,6416500,0,1,51.85665898,52.21264259,51.8540887,52.04814475,44915500
12/29/2011,403.4,405.65,400.51,405.12,7713500,0,1,51.84252245,52.13167881,51.47111717,52.06356642,53994500
12/28/2011,406.89,408.25,401.34,402.64,8166500,0,1,52.29103609,52.46581505,51.57778374,51.74485186,57165500
12/27/2011,403.1,409.09,403.02,406.53,9467000,0,1,51.80396827,52.57376675,51.79368715,52.24477107,66269000
12/23/2011,399.69,403.59,399.495,403.33,9621400,0,1,51.36573574,51.8669401,51.34067552,51.83352647,67349800
12/22/2011,397,399.13,396.1,398.55,7227100,0,1,51.02003325,51.29376793,50.9043707,51.21922985,50589700
12/21/2011,396.69,397.3,392.01,396.445,9391000,0,1,50.98019393,51.05858743,50.3787487,50.94870801,65737000
12/20/2011,387.76,396.1,387.26,395.95,12043400,0,1,49.83256446,50.9043707,49.76830749,50.88509361,84303800
12/19/2011,382.47,384.85,380.48,382.21,8411800,0,1,49.15272573,49.4585889,48.896983,49.11931211,58882600
12/16/2011,380.36,384.15,379.57,381.02,15052800,0,1,48.88156132,49.36862915,48.78003531,48.96638052,105369600
12/15/2011,383.33,383.74,378.31,378.94,9150000,0,1,49.26324772,49.31593843,48.61810775,48.69907153,64050000
12/14/2011,386.7,387.38,377.68,380.19,14531700,0,1,49.69633969,49.78372917,48.53714397,48.85971396,101721900
12/13/2011,393,395.4,387.1,388.81,12104600,0,1,50.5059775,50.81441095,49.74774526,49.9675041,84732200
12/12/2011,391.68,393.9,389.45,391.84,10752400,0,1,50.3363391,50.62164004,50.04975302,50.35690133,75266800
12/9/2011,392.85,394.04,391.03,393.62,10606900,0,1,50.48670041,50.63963199,50.25280504,50.58565614,74248300
12/8/2011,391.45,395.5,390.23,390.66,13441300,0,1,50.30678089,50.82726234,50.14999389,50.20525488,94089100
12/7/2011,389.93,390.94,386.7625,389.09,10883800,0,1,50.11143971,50.24123879,49.70437181,50.003488,76186600
12/6/2011,392.51,394.63,389.38,390.95,10128500,0,1,50.44300567,50.71545522,50.04075704,50.24252392,70899500
12/5/2011,393.49,396.41,390.388,393.01,12757500,0,1,50.56894933,50.94421002,50.17029909,50.50726264,89302500
12/2/2011,389.83,393.6299,388.58,389.7,13537700,0,1,50.09858831,50.58692843,49.93794589,50.0818815,94763900
12/1/2011,382.54,389,380.75,387.93,13827900,0,1,49.16172171,49.99192175,48.93168176,49.85441183,96795300
11/30/2011,381.29,382.276,378.3,382.2,14497800,0,1,49.00107929,49.12779403,48.61682261,49.11802697,101484600
11/29/2011,375.84,378.83,370.2,373.2,13423400,0,1,48.30067833,48.684935,47.57585972,47.96140153,93963800
11/28/2011,372.35,376.72,370.33,376.12,12371900,0,1,47.85216468,48.41377059,47.59256653,48.33666223,86603300
11/25/2011,368.42,371.15,363.32,363.57,9098600,0,1,47.34710491,47.69794796,46.69168383,46.72381231,63690200
11/23/2011,374.51,375.84,366.88,366.99,15295400,0,1,48.12975479,48.30067833,47.14919345,47.16332998,107067800
11/22/2011,371.02,377.93,370.94,376.51,14607900,0,1,47.68124115,48.56927246,47.67096003,48.38678266,102255300
